nodeId:ID(Intersection),longitude:double,latitude:double,:LABEL
276,-43.4945901,-22.6547015,Intersection
277,-43.4948480,-22.6544528,Intersection
278,-43.4949663,-22.6543271,Intersection
279,-43.4950293,-22.6542733,Intersection
280,-43.4951151,-22.6542219,Intersection
281,-43.4952539,-22.6541645,Intersection
282,-43.4953894,-22.6541123,Intersection
283,-43.4954913,-22.6540839,Intersection
284,-43.4956207,-22.6540579,Intersection
285,-43.4957059,-22.6540511,Intersection
286,-43.4957957,-22.6540554,Intersection
287,-43.4959003,-22.6540783,Intersection
288,-43.4960257,-22.6541161,Intersection
289,-43.4963142,-22.6542157,Intersection
290,-43.4964580,-22.6542698,Intersection
291,-43.4966689,-22.6543500,Intersection
292,-43.4969703,-22.6544621,Intersection
293,-43.4970655,-22.6544861,Intersection
294,-43.4971711,-22.6545005,Intersection
295,-43.4972855,-22.6545047,Intersection
296,-43.4974357,-22.6545036,Intersection
297,-43.4975325,-22.6544935,Intersection
298,-43.4976719,-22.6544892,Intersection
299,-43.4978925,-22.6544836,Intersection
300,-43.4981460,-22.6544688,Intersection
301,-43.4983908,-22.6544447,Intersection
302,-43.4987676,-22.6544119,Intersection
303,-43.4990459,-22.6544032,Intersection
304,-43.4995361,-22.6544007,Intersection
305,-43.5001473,-22.6544116,Intersection
306,-43.5004254,-22.6544055,Intersection
307,-43.5007752,-22.6543822,Intersection
308,-43.5010317,-22.6543726,Intersection
309,-43.5011283,-22.6543754,Intersection
310,-43.5012232,-22.6543877,Intersection
311,-43.5012929,-22.6544125,Intersection
312,-43.5013452,-22.6544363,Intersection
313,-43.5014901,-22.6545022,Intersection
314,-43.5017422,-22.6545938,Intersection
315,-43.5019890,-22.6547027,Intersection
316,-43.5022384,-22.6548265,Intersection
317,-43.5024986,-22.6549379,Intersection
318,-43.5027427,-22.6550517,Intersection
319,-43.5029170,-22.6551235,Intersection
320,-43.5031128,-22.6551854,Intersection
321,-43.5034159,-22.6552695,Intersection
322,-43.5037565,-22.6553661,Intersection
323,-43.5040033,-22.6554552,Intersection
324,-43.5043466,-22.6555888,Intersection
325,-43.5046819,-22.6557101,Intersection
326,-43.5051459,-22.6559007,Intersection
327,-43.5054919,-22.6560740,Intersection
328,-43.5057575,-22.6562250,Intersection
329,-43.5059291,-22.6563710,Intersection
330,-43.5061786,-22.6566161,Intersection
331,-43.5064656,-22.6569205,Intersection
332,-43.5068545,-22.6572745,Intersection
333,-43.5071147,-22.6574849,Intersection
334,-43.5073078,-22.6576334,Intersection
335,-43.5075089,-22.6577794,Intersection
336,-43.5078890,-22.6580288,Intersection
337,-43.5081892,-22.6582055,Intersection
338,-43.5083897,-22.6583261,Intersection
339,-43.5085464,-22.6584094,Intersection
340,-43.5089912,-22.6586156,Intersection
341,-43.5094637,-22.6588205,Intersection
342,-43.5104053,-22.6591872,Intersection
343,-43.5108868,-22.6594112,Intersection
344,-43.5110045,-22.6594660,Intersection
345,-43.5119308,-22.6598913,Intersection
346,-43.5124177,-22.6601294,Intersection
347,-43.5128383,-22.6603674,Intersection
348,-43.5133332,-22.6606221,Intersection
349,-43.5138155,-22.6608546,Intersection
350,-43.5141903,-22.6610169,Intersection
